City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
338,saipan,15.1355,145.701,84.9,100,40,11.01,MP,1689980153
339,todos santos,23.45,-110.2167,84.43,74,0,6.98,MX,1689980154
340,acarau,-2.8856,-40.12,79.11,70,2,17.54,BR,1689980056
341,kolonia town,6.964,158.206,84.31,84,100,5.75,FM,1689980154
342,la asuncion,11.0333,-63.8628,80.2,85,93,16.98,VE,1689980085
343,new norfolk,-42.7826,147.0587,46.92,84,59,2.66,AU,1689980154
344,mermoz boabab,14.7065,-17.4758,82.18,74,40,9.22,SN,1689980154
345,dapa,9.7594,126.0531,82.22,79,60,15.73,PH,1689980154
346,dunedin,-45.8742,170.5036,47.8,63,13,5.99,NZ,1689980154
347,ulanhot,46.0833,122.0833,65.79,96,100,9.44,CN,1689980155
348,goz beida,13.95,20.55,83.17,50,91,16.6,TD,1689980155
349,dayrut,27.556,30.8076,87.53,19,0,11.52,EG,1689980155
350,degema hulk,4.7625,6.752,75.52,91,100,7.45,NG,1689980155
351,tavsanli,39.5424,29.4987,67.66,74,0,2.33,TR,1689980155
352,lautoka,-17.6167,177.4667,76.86,78,40,5.75,FJ,1689980155
353,santo domingo de los colorados,-0.25,-79.15,76.64,86,60,2.19,EC,1689980155
354,smara,26.7384,-11.6719,71.98,64,0,14.81,EH,1689980155
355,bonthe,7.5264,-12.505,77.36,89,100,11.43,SL,1689980156
356,malanje,-9.5402,16.341,69.19,45,22,4.34,AO,1689980062
357,ingeniero guillermo n. juarez,-23.9,-61.85,88.68,23,0,22.5,AR,1689980156
358,edd,13.9297,41.6925,95.54,50,99,11.23,ER,1689980156
359,ghat,24.9647,10.1728,88.63,12,0,6.15,LY,1689980156
360,togur,58.3631,82.8265,60.82,96,67,4.94,RU,1689980156
361,ghormach,35.7306,63.7826,77.76,21,0,5.55,AF,1689980156
362,cambria,35.5641,-121.0808,108.34,49,55,9.24,US,1689980156
363,n'zeto,-7.2312,12.8666,69.84,91,51,6.26,AO,1689980157
364,yichang,30.7144,111.2847,76.89,84,12,3.47,CN,1689980157
365,kertih,4.5141,103.4483,80.62,94,100,2.3,MY,1689980157
366,gornyy,55.1153,83.9059,60.24,90,78,6.82,RU,1689980157
367,jishui,33.7333,115.4,79.38,88,59,3.78,CN,1689980157
368,island harbour,50.724,-1.2758,60.01,76,43,1.01,GB,1689980157
369,ocos,14.5094,-92.1933,87.4,71,85,7.29,GT,1689980157
370,east end,34.5507,-92.341,80.31,83,99,12.01,US,1689980157
371,mikhaylovskaya,44.9947,40.5964,67.3,77,7,5.26,RU,1689980158
372,qamdo,31.1667,97.2333,36.37,53,0,1.9,CN,1689980158
373,usogorsk,63.4106,48.6872,56.7,98,60,4.14,RU,1689980158
374,yeppoon,-23.1333,150.7333,70.25,53,10,6.31,AU,1689980158
375,santa ana,33.7456,-117.8678,99.41,59,40,14.97,US,1689980158
376,tofol,5.3248,163.0078,82.18,83,100,9.22,FM,1689980158
